SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
644,9	1461	1301	650,5
645,24	1450	1308	654
645,59	1458	1304	652
645,93	1415	1273	636,5
646,28	1421	1246	623
646,62	1416	1237	618,5
646,96	1415	1209	604,5
647,31	1402	1190	595
647,65	1375	1142	571
647,99	1360	1143	571,5
648,34	1374	1094	547
648,68	1374	1085	542,5
649,03	1353	1046	523
649,37	1347	1024	512
649,71	1337	1004	502
650,06	1299	966	483
650,4	1299	939	469,5
650,74	1295	916	458
651,09	1287	877	438,5
651,43	1273	860	430
651,77	1269	834	417
652,11	1236	795	397,5
652,46	1232	772	386
652,8	1223	758	379
653,14	1228	723	361,5
653,49	1218	703	351,5
653,83	1208	671	335,5
654,17	1214	653	326,5
654,52	1196	620	310
654,86	1174	593	296,5
655,2	1189	580	290
655,54	1180	554	277
655,89	1172	520	260
656,23	1162	512	256
656,57	1149	487	243,5
656,91	1124	473	236,5
657,26	1118	456	228
657,6	1092	430	215
657,94	1122	414	207
658,28	1115	401	200,5
658,62	1087	387	193,5
658,97	1086	362	181
659,31	1097	346	173
659,65	1072	334	167
659,99	1056	328	164
660,33	1048	314	157
660,68	1052	300	150
661,02	1044	297	148,5
661,36	1050	282	141
661,7	1019	282	141
662,04	1016	279	139,5
662,39	1007	266	133
662,73	1012	258	129
663,07	981	254	127
663,41	981	249	124,5
663,75	985	254	127
664,09	970	246	123
664,44	939	242	121
664,78	934	233	116,5
665,12	943	235	117,5
665,46	931	224	112
665,8	924	224	112
666,14	922	230	115
666,48	918	221	110,5
666,82	899	219	109,5
667,16	920	220	110
667,51	891	219	109,5
667,85	884	220	110
668,19	882	219	109,5
668,53	869	221	110,5
668,87	878	220	110
669,21	856	214	107
669,55	855	216	108
669,89	836	223	111,5
670,23	828	215	107,5
670,57	822	219	109,5
670,91	832	215	107,5
671,25	812	219	109,5
671,59	805	216	108
671,93	809	216	108
672,28	806	216	108
672,62	789	218	109
672,96	779	215	107,5
673,3	794	221	110,5
673,64	768	215	107,5
673,98	771	217	108,5
674,32	759	220	110
674,66	757	217	108,5
675	743	219	109,5
675,34	734	219	109,5
675,68	736	223	111,5
676,02	735	218	109
676,36	734	223	111,5
676,7	720	225	112,5
677,04	718	223	111,5
677,38	716	224	112
677,71	715	228	114
678,05	697	226	113
678,39	693	226	113
678,73	695	239	119,5
679,07	689	239	119,5
679,41	677	240	120
679,75	675	246	123
680,09	671	244	122
680,43	658	256	128
680,77	675	263	131,5
681,11	660	271	135,5
681,45	631	275	137,5
681,79	642	285	142,5
682,13	641	293	146,5
682,46	624	304	152
